timestamp,can_id,dlc,label,attack_type,d0,d1,d2,d3,d4,d5,d6,d7
0.038,32,4,1,spoofing,0,0,1,4,0,0,0,0
0.039,1973,7,1,fuzzy,131,245,83,245,120,197,72,10
0.04,48,6,1,fuzzy,20,220,220,155,239,18,19,245
0.041,64,3,1,fuzzy,174,210,76,32,94,214,192,142
0.042,750,4,1,fuzzy,255,133,193,120,116,3,139,195
0.043000000000000003,19,8,1,dos,20,247,254,246,17,130,2,10
0.044,833,4,1,fuzzy,159,5,133,209,212,230,18,172
0.045,1918,2,1,fuzzy,16,102,54,176,165,115,159,34
0.046,19,8,1,dos,14,247,4,15,7,125,2,11
0.047,19,8,1,dos,4,5,3,14,6,134,2,12
0.048,1381,5,1,fuzzy,120,51,231,213,199,49,52,52
0.049,19,8,1,dos,0,251,12,15,20,129,2,13
0.05,48,7,1,fuzzy,188,207,181,86,238,67,193,205
0.051000000000000004,1871,8,1,fuzzy,44,61,165,88,56,254,205,57
0.052000000000000005,19,8,1,dos,26,12,255,251,4,124,2,14
0.053,768,5,1,fuzzy,47,11,105,25,244,195,119,94
0.054,19,8,1,dos,241,233,9,246,250,127,2,15
0.055,32,1,1,fuzzy,181,85,197,103,126,238,54,53
0.056,659,1,1,fuzzy,245,135,112,231,202,126,174,124
0.057,369,7,1,fuzzy,2,105,43,4,194,146,9,255
0.058,19,8,1,dos,7,10,2,251,25,126,2,16
0.059000000000000004,1284,4,1,fuzzy,253,26,247,170,112,72,249,70
0.06,19,8,1,dos,241,13,252,227,231,128,2,17
0.061,739,5,1,fuzzy,83,119,245,146,78,222,36,94
0.062,607,7,1,fuzzy,220,220,213,196,28,148,194,127
0.063,513,8,1,fuzzy,140,57,115,92,197,107,86,83
0.064,19,8,0,normal,23,0,2,246,243,136,2,17
0.065,19,8,1,dos,255,255,3,245,254,125,2,18
0.066,1211,7,1,fuzzy,110,46,6,60,128,167,177,44
0.067,5,1,1,fuzzy,235,7,129,129,187,216,158,229
0.068,19,8,1,dos,0,7,253,234,13,128,2,19
0.069,1483,3,1,fuzzy,10,148,128,175,203,228,240,130
0.07,19,8,1,dos,248,0,250,247,228,125,2,20
0.07100000000000001,64,8,1,fuzzy,237,255,38,126,168,208,104,76
0.07200000000000001,80,4,1,fuzzy,161,249,43,193,226,150,62,0
0.073,1486,6,1,fuzzy,252,91,225,127,15,187,187,175
0.074,19,8,1,dos,248,248,0,253,15,120,2,21
0.075,19,8,1,dos,0,16,0,7,255,130,2,22
0.076,5,5,1,fuzzy,141,37,27,122,62,211,2,62
0.077,379,6,1,fuzzy,77,206,136,205,23,212,81,222
0.078,80,4,1,fuzzy,22,83,164,108,165,89,39,148
0.079,484,3,1,fuzzy,90,218,2,50,229,86,249,172
0.08,19,8,1,dos,0,16,5,243,243,124,2,23
0.081,1941,2,1,fuzzy,89,227,35,238,72,87,210,121
0.082,32,1,1,fuzzy,210,193,170,59,231,10,113,43
0.083,19,8,1,dos,251,255,253,10,223,121,2,24
0.084,19,8,1,dos,19,2,252,234,249,133,2,25
0.085,32,3,1,fuzzy,198,185,45,52,211,124,97,108
0.08600000000000001,19,8,1,dos,244,3,7,23,26,131,2,26
0.08700000000000001,276,8,1,fuzzy,242,236,152,106,180,238,88,51
0.088,80,8,1,fuzzy,84,50,191,233,181,52,21,113
0.089,48,6,0,normal,108,130,121,1,5,0,0,0
0.09,1626,3,1,fuzzy,193,253,186,210,75,144,31,245
0.091,1881,8,1,fuzzy,182,177,219,72,156,250,15,178
0.092,146,2,1,fuzzy,192,237,205,31,0,40,122,84
0.093,19,8,1,dos,248,17,255,219,12,132,2,27
0.094,5,4,1,fuzzy,241,4,161,93,246,72,71,10
0.095,32,4,0,normal,5,199,1,13,0,0,0,0
0.096,948,8,1,fuzzy,35,153,31,193,53,215,243,139
0.097,590,6,1,fuzzy,145,2,147,142,1,61,153,122
0.098,19,8,0,normal,250,247,0,205,250,126,2,27
0.099,19,8,1,dos,5,248,254,220,235,134,2,28
0.1,1219,7,1,fuzzy,129,57,180,167,140,242,151,4
0.101,1767,2,1,fuzzy,85,49,35,108,1,191,0,107
0.10200000000000001,48,8,1,fuzzy,34,173,41,92,146,31,158,207
0.10300000000000001,19,8,1,dos,253,251,2,214,241,124,2,29
0.10400000000000001,64,2,1,fuzzy,245,133,144,197,75,34,205,62
0.105,860,7,1,fuzzy,168,103,45,39,21,8,193,122
0.106,32,4,1,spoofing,0,0,1,14,0,0,0,0
0.107,1133,2,1,fuzzy,26,110,111,104,47,180,106,212
0.108,19,8,1,dos,0,240,255,241,9,125,2,30
0.109,1548,7,1,fuzzy,96,22,87,22,159,43,174,33
0.11,80,4,1,fuzzy,110,177,160,70,232,151,165,194
0.111,48,2,1,fuzzy,82,160,212,52,215,4,232,39
0.112,5,8,1,fuzzy,48,98,30,65,224,221,47,99
0.113,19,8,1,dos,250,251,254,253,16,124,2,31
0.114,80,3,1,fuzzy,24,33,41,188,173,116,160,88
0.115,19,8,1,dos,3,247,3,249,238,117,2,32
0.116,5,3,1,fuzzy,77,62,129,136,212,159,215,10
0.117,32,2,1,fuzzy,139,70,205,145,201,237,3,202
0.11800000000000001,1411,2,1,fuzzy,251,248,53,47,146,254,169,125
0.11900000000000001,1187,1,1,fuzzy,167,246,248,83,159,243,40,103
0.12,48,3,1,fuzzy,65,108,89,71,184,19,78,132
0.121,19,8,1,dos,254,0,255,227,252,119,2,33
0.122,1969,7,1,fuzzy,253,6,188,95,80,109,28,95
0.123,1848,2,1,fuzzy,133,190,188,143,223,209,216,178
0.124,19,8,1,dos,10,255,2,28,255,131,2,34
0.125,529,1,1,fuzzy,49,120,82,212,59,143,198,155
0.126,19,8,1,dos,249,255,253,11,19,119,2,35
0.127,80,7,1,fuzzy,2,23,184,28,144,205,69,77
0.128,19,8,1,dos,253,248,255,6,25,124,2,36
0.129,48,8,1,fuzzy,98,25,60,128,162,53,228,61
0.13,799,1,1,fuzzy,174,33,112,153,32,134,51,244
0.131,19,8,1,dos,3,0,249,239,249,130,2,37
0.132,341,2,1,fuzzy,126,93,17,64,245,218,175,194
0.133,19,8,0,normal,243,15,254,252,245,126,2,38
0.134,19,8,1,dos,246,248,4,246,6,125,2,38
0.135,32,3,1,fuzzy,96,14,74,170,103,79,72,210
0.136,5,2,1,fuzzy,144,61,75,101,217,250,113,104
0.137,436,7,1,fuzzy,129,172,50,103,93,12,28,91
0.138,64,8,1,fuzzy,157,185,165,136,109,7,246,156
0.139,581,4,1,fuzzy,53,169,242,127,170,138,219,112
0.14,154,2,1,fuzzy,108,103,182,84,35,73,1,162
0.14100000000000001,19,8,1,dos,252,10,249,248,19,125,2,39
0.14200000000000002,429,7,1,fuzzy,94,76,90,246,95,168,5,248
0.14300000000000002,64,7,1,fuzzy,134,245,229,123,231,91,101,115
0.14400000000000002,19,8,1,dos,9,4,3,22,227,124,2,40
0.145,302,2,1,fuzzy,121,30,78,243,174,119,15,192
0.146,1547,6,1,fuzzy,194,11,66,121,108,4,218,225
0.147,19,8,1,dos,2,9,244,224,214,122,2,41
0.148,80,5,1,fuzzy,166,218,197,218,253,47,149,112
0.149,220,1,1,fuzzy,183,43,71,187,215,208,87,214
0.15,2012,6,1,fuzzy,54,168,196,55,138,110,104,29
0.151,162,4,1,fuzzy,174,73,196,0,208,30,223,142
0.152,19,8,1,dos,15,243,11,8,9,130,2,42
0.153,32,6,1,fuzzy,87,239,132,228,182,14,35,95
0.154,64,6,1,fuzzy,54,200,232,243,243,17,238,74
0.155,1128,5,1,fuzzy,107,80,134,134,37,244,13,192
0.156,19,8,1,dos,250,245,2,236,250,123,2,43
0.157,19,8,1,dos,249,244,1,253,26,128,2,44
0.158,19,8,1,dos,7,3,3,12,248,120,2,45
0.159,1536,7,1,fuzzy,136,82,236,6,129,232,208,108
0.16,19,8,1,dos,235,248,254,23,251,135,2,46
0.161,32,4,0,normal,6,29,1,23,0,0,0,0
0.162,19,8,1,dos,239,10,4,221,12,133,2,47
0.163,19,1,1,fuzzy,255,147,248,252,229,154,41,137
0.164,80,6,1,fuzzy,99,119,116,15,167,153,4,142
0.165,19,8,1,dos,245,8,255,27,17,130,2,48
0.166,48,4,1,fuzzy,41,161,239,231,204,251,219,145
0.167,19,8,0,normal,24,7,5,34,4,134,2,48
0.168,48,5,1,fuzzy,156,176,0,98,22,129,28,244
0.169,19,8,1,dos,247,253,9,248,20,125,2,49
0.17,32,4,1,spoofing,0,0,1,24,0,0,0,0
0.171,503,8,1,fuzzy,192,8,97,221,156,51,175,172
0.17200000000000001,19,8,1,dos,246,4,6,8,3,120,2,50
0.17300000000000001,80,3,1,fuzzy,41,149,209,31,186,184,213,50
0.17400000000000002,32,3,1,fuzzy,237,102,7,249,25,2,108,23
0.17500000000000002,19,8,1,dos,0,247,1,241,247,130,2,51
0.176,19,8,1,dos,14,254,2,11,10,127,2,52
0.177,64,7,1,fuzzy,2,123,144,235,76,29,71,34
0.178,847,5,1,fuzzy,127,79,33,179,17,242,39,233
0.179,19,8,1,dos,250,244,1,249,36,124,2,53
0.18,5,3,1,fuzzy,112,45,101,36,53,126,211,198
0.181,600,8,1,fuzzy,174,24,77,212,127,208,7,245
0.182,5,4,1,fuzzy,243,109,14,244,90,195,4,229
0.183,19,8,1,dos,3,242,2,242,46,122,2,54
0.184,1793,4,1,fuzzy,5,107,31,126,191,27,0,133
0.185,19,8,1,dos,234,248,3,234,8,127,2,55
0.186,1760,7,1,fuzzy,106,140,123,128,213,88,217,178
0.187,64,3,1,fuzzy,247,248,120,56,109,94,9,134
0.188,954,8,1,fuzzy,45,183,196,234,49,132,197,35
0.189,19,8,1,dos,255,246,3,219,13,123,2,56
0.19,64,1,1,fuzzy,27,201,71,80,213,7,190,25
0.191,19,8,1,dos,3,0,9,247,228,137,2,57
0.192,80,2,1,fuzzy,246,64,231,75,111,1,250,210
0.193,1959,5,1,fuzzy,140,6,167,41,230,181,78,43
0.194,80,1,1,fuzzy,110,209,182,254,94,184,245,67
0.195,1855,5,1,fuzzy,91,176,79,209,152,233,20,175
0.196,19,8,0,normal,7,1,1,220,5,119,2,58
0.197,19,8,1,dos,0,21,250,253,233,126,2,58
0.198,19,8,1,dos,0,0,0,210,14,125,2,59
0.199,625,2,1,fuzzy,227,149,160,170,207,41,90,228
0.2,1344,5,1,fuzzy,80,10,142,173,17,83,113,95
0.201,471,5,1,fuzzy,144,73,143,176,195,140,121,241
0.202,300,3,1,fuzzy,79,243,161,253,105,231,17,17
0.203,48,3,1,fuzzy,83,7,250,216,68,225,58,197
0.20400000000000001,19,8,1,dos,251,250,0,231,23,122,2,60
0.20500000000000002,1140,6,1,fuzzy,182,192,207,217,117,78,233,183
0.20600000000000002,19,8,1,dos,7,2,0,229,19,121,2,61
0.20700000000000002,32,1,1,fuzzy,60,82,61,65,73,156,130,206
0.20800000000000002,1349,6,1,fuzzy,193,36,200,116,14,53,239,64
0.209,19,8,1,dos,3,254,255,13,250,118,2,62
0.21,19,1,1,fuzzy,53,36,189,24,159,135,154,67
0.211,1662,4,1,fuzzy,220,86,2,1,151,106,199,30
0.212,540,5,1,fuzzy,2,210,240,31,50,167,216,78
0.213,19,8,1,dos,2,1,0,48,33,120,2,63
0.214,19,5,1,fuzzy,151,6,112,65,26,115,22,207
0.215,1210,6,1,fuzzy,183,153,110,86,183,165,140,44
0.216,19,8,1,dos,13,10,7,248,253,118,2,64
0.217,48,1,1,fuzzy,29,140,192,146,90,29,68,195
0.218,357,6,1,fuzzy,163,28,75,179,202,153,15,234
0.219,5,4,1,fuzzy,227,67,138,165,30,224,94,81
0.22,32,3,1,fuzzy,158,95,253,38,107,77,65,148
0.221,465,8,1,fuzzy,29,18,189,4,185,185,126,61
0.222,19,8,1,dos,250,249,4,253,16,126,2,65
0.223,2042,5,1,fuzzy,25,251,25,242,156,58,88,32
0.224,19,8,1,dos,243,247,2,33,9,127,2,66
0.225,5,8,1,fuzzy,38,48,134,11,127,173,153,144
0.226,32,4,0,normal,5,138,1,33,0,0,0,0
0.227,19,8,1,dos,254,249,0,7,231,127,2,67
0.228,19,8,0,normal,1,245,0,2,3,122,2,67
0.229,19,8,1,dos,253,255,0,217,2,131,2,68
0.23,5,3,1,fuzzy,28,170,207,128,28,91,251,209
0.231,881,1,1,fuzzy,122,173,132,146,202,243,86,194
0.232,32,4,1,spoofing,0,0,1,34,0,0,0,0
0.233,64,1,1,fuzzy,137,255,89,150,81,18,81,170
0.234,19,8,1,dos,14,0,12,241,242,127,2,69
0.23500000000000001,855,8,1,fuzzy,1,42,20,124,185,102,167,211
0.23600000000000002,5,3,1,fuzzy,248,63,123,89,81,191,199,214
0.23700000000000002,1896,4,1,fuzzy,111,151,72,157,123,19,138,43
0.23800000000000002,19,8,1,dos,6,233,252,15,239,126,2,70
0.23900000000000002,32,7,1,fuzzy,91,243,115,182,92,214,179,64
0.24,1447,4,1,fuzzy,67,68,228,17,126,212,97,45
0.241,19,3,1,fuzzy,170,187,186,15,119,228,96,0
0.242,417,2,1,fuzzy,69,58,236,102,72,22,67,232
0.243,19,8,1,dos,4,8,6,12,232,129,2,71
0.244,64,5,1,fuzzy,229,116,58,135,63,160,158,97
0.245,19,3,1,fuzzy,46,246,247,3,98,168,192,169
0.246,19,8,1,dos,4,12,1,254,240,137,2,72
0.247,391,5,1,fuzzy,205,180,56,24,87,83,141,50
0.248,80,1,1,fuzzy,2,107,226,220,144,78,178,242
0.249,19,8,1,dos,0,253,250,17,9,128,2,73
0.25,1477,4,1,fuzzy,194,236,137,167,28,57,41,50
0.251,979,1,1,fuzzy,66,77,111,16,122,86,126,73
0.252,19,8,1,dos,5,254,2,28,208,132,2,74
0.253,32,8,1,fuzzy,19,50,141,209,252,167,213,148
0.254,48,6,0,normal,136,127,130,1,14,0,0,0
0.255,19,8,1,dos,17,7,6,240,4,126,2,75
0.256,5,8,0,normal,192,179,83,185,1,7,0,0
0.257,1661,7,1,fuzzy,0,242,120,175,115,189,182,161
0.258,64,5,1,fuzzy,148,62,203,95,157,199,93,6
0.259,19,8,1,dos,9,255,247,8,0,130,2,76
0.26,5,1,1,fuzzy,177,1,229,177,108,33,167,9
0.261,19,8,1,dos,239,247,252,236,245,130,2,77
0.262,19,8,0,normal,249,251,252,243,229,126,2,78
0.263,19,8,1,dos,8,244,255,0,251,130,2,78
0.264,244,6,1,fuzzy,21,75,49,4,221,163,159,181
0.265,5,2,1,fuzzy,109,33,102,112,12,116,27,228
0.266,1522,7,1,fuzzy,27,123,208,213,186,51,199,246
0.267,19,8,1,dos,255,233,2,37,247,130,2,79
0.268,19,8,1,dos,9,5,255,248,12,127,2,80
0.269,19,7,1,fuzzy,251,8,98,104,8,181,58,34
0.27,64,1,1,fuzzy,26,254,78,235,200,208,11,220
0.271,19,8,1,dos,241,5,253,0,11,120,2,81
0.272,5,1,1,fuzzy,226,149,245,156,100,144,68,89
0.273,777,6,1,fuzzy,171,93,248,210,149,239,157,60
0.274,19,8,1,dos,16,252,5,50,4,122,2,82
0.275,32,3,1,fuzzy,176,139,26,67,31,70,81,174
0.276,1218,3,1,fuzzy,120,197,175,64,128,120,41,33
0.277,1270,4,1,fuzzy,253,174,27,63,195,207,33,178
0.278,19,8,1,dos,255,0,3,16,216,132,2,83
0.279,803,7,1,fuzzy,140,42,194,231,191,196,121,135
0.28,882,3,1,fuzzy,222,97,41,177,202,212,86,175
0.281,1074,4,1,fuzzy,167,152,106,112,130,86,53,153
0.28200000000000003,19,8,1,dos,251,7,251,236,21,127,2,84
0.28300000000000003,19,8,1,dos,250,2,1,8,12,129,2,85
0.28400000000000003,48,1,1,fuzzy,225,247,65,133,64,211,69,91
0.28500000000000003,1960,5,1,fuzzy,221,101,181,74,187,218,136,234
0.28600000000000003,19,8,1,dos,237,8,245,232,242,131,2,86
0.28700000000000003,80,3,1,fuzzy,66,50,30,202,165,129,66,172
0.28800000000000003,32,4,0,normal,5,251,1,43,0,0,0,0
0.289,19,8,1,dos,18,243,251,211,234,123,2,87
0.29,19,8,0,normal,249,0,255,21,244,124,2,87
0.291,927,2,1,fuzzy,3,218,142,162,68,134,94,66
0.292,19,8,1,dos,10,2,255,15,25,123,2,88
0.293,19,8,1,dos,252,239,6,245,251,134,2,89
0.294,32,4,1,spoofing,0,0,1,44,0,0,0,0
0.295,64,3,1,fuzzy,130,94,38,194,69,176,201,32
0.296,676,8,1,fuzzy,228,96,20,4,71,22,212,190
0.297,19,8,1,dos,12,239,2,248,225,121,2,90
0.298,1846,2,1,fuzzy,209,120,85,110,101,213,210,39
0.299,19,8,1,dos,247,3,253,224,19,128,2,91
0.3,64,1,1,fuzzy,145,149,164,179,46,206,193,152
0.301,32,8,1,fuzzy,237,153,110,39,216,247,108,99
0.302,80,8,1,fuzzy,152,241,48,186,93,216,229,227
0.303,48,7,1,fuzzy,135,79,177,199,216,96,173,52
0.304,5,3,1,fuzzy,140,223,29,16,186,111,166,173
0.305,19,8,1,dos,6,1,254,249,26,128,2,92
0.306,64,2,1,fuzzy,220,38,160,119,219,212,48,58
0.307,5,1,1,fuzzy,79,205,35,254,66,142,16,252
0.308,48,6,1,fuzzy,254,161,88,1,22,25,189,191
0.309,19,8,1,dos,4,2,253,3,20,127,2,93
0.31,458,7,1,fuzzy,105,15,151,141,113,9,227,157
0.311,862,5,1,fuzzy,249,186,184,75,143,189,4,17
0.312,32,4,1,fuzzy,212,119,117,158,137,100,71,231
0.313,563,4,1,fuzzy,40,220,72,140,196,35,99,57
0.314,19,8,1,dos,10,245,254,13,226,126,2,94
0.315,32,5,1,fuzzy,238,101,79,89,22,191,213,80
0.316,19,8,1,dos,0,247,5,246,13,119,2,95
0.317,19,8,1,fuzzy,12,255,108,124,105,15,55,169
0.318,295,2,1,fuzzy,79,206,6,161,209,161,36,160
0.319,1186,7,1,fuzzy,59,9,74,104,45,205,76,221
0.32,19,8,1,dos,244,11,253,255,7,123,2,96
0.321,80,3,0,normal,68,75,31,0,0,0,0,0
0.322,19,8,1,dos,1,237,6,254,227,125,2,97
0.323,64,6,1,fuzzy,9,146,1,108,205,117,151,117
0.324,2000,4,1,fuzzy,28,20,234,56,13,126,118,9
0.325,64,7,1,fuzzy,172,111,223,4,116,113,118,171
0.326,817,4,1,fuzzy,150,220,83,78,20,109,210,224
0.327,1639,8,1,fuzzy,9,192,159,33,13,192,222,119
0.328,19,8,0,normal,245,5,0,1,25,133,2,97
0.329,1633,2,1,fuzzy,59,122,110,6,118,148,174,92
0.33,19,8,1,dos,248,237,0,15,4,129,2,98
0.331,19,2,1,fuzzy,190,43,157,33,88,248,82,104
0.332,19,8,1,dos,15,230,250,3,5,119,2,99
0.333,19,8,1,dos,17,253,1,35,1,130,2,100
0.334,974,7,1,fuzzy,222,122,186,31,157,144,61,122
0.335,32,8,1,fuzzy,114,213,117,14,178,207,15,76
0.336,19,8,1,fuzzy,205,152,220,73,223,170,147,146
0.337,19,8,1,dos,253,253,5,0,236,132,2,101
0.338,19,4,1,fuzzy,187,184,211,249,89,248,244,66
0.339,354,5,1,fuzzy,152,7,150,150,83,64,215,153
0.34,32,2,1,fuzzy,42,77,171,6,67,24,229,135
0.341,260,2,1,fuzzy,220,230,104,171,225,203,234,131
0.342,19,8,1,dos,15,255,0,1,26,127,2,102
0.343,1909,3,1,fuzzy,56,104,115,134,112,85,142,35
0.34400000000000003,2006,4,1,fuzzy,49,234,214,233,51,36,188,127
0.34500000000000003,32,6,1,fuzzy,77,141,109,185,84,116,198,50
0.34600000000000003,424,1,1,fuzzy,79,71,103,90,62,33,242,255
0.34700000000000003,19,8,1,dos,247,249,3,4,33,122,2,103
0.34800000000000003,5,8,1,fuzzy,0,145,226,235,212,204,83,100
0.34900000000000003,571,7,1,fuzzy,92,204,109,74,156,168,246,5
0.35000000000000003,5,1,1,fuzzy,212,253,107,195,75,33,217,248
0.35100000000000003,19,8,1,dos,2,0,251,246,14,120,2,104
0.352,722,4,1,fuzzy,36,155,145,114,58,89,154,99
0.353,19,8,1,dos,249,249,3,245,32,121,2,105
0.354,19,8,1,dos,0,0,244,235,253,117,2,106
0.355,1064,1,1,fuzzy,100,83,184,243,155,149,12,108
0.356,1134,1,1,fuzzy,221,75,143,75,166,81,67,134
0.357,19,8,1,dos,244,3,2,232,252,129,2,107
0.358,64,4,0,normal,2,183,0,1,0,0,0,0
0.359,32,4,0,normal,5,252,1,53,0,0,0,0
0.36,343,6,1,fuzzy,182,181,239,174,244,140,76,205
0.361,64,8,1,fuzzy,104,72,75,224,68,193,0,253
0.362,19,8,0,normal,2,252,1,222,29,129,2,107
0.363,19,8,1,dos,12,9,254,0,1,125,2,108
0.364,32,4,1,spoofing,0,0,1,54,0,0,0,0
0.365,19,8,1,dos,14,4,4,13,248,119,2,109
0.366,5,8,1,fuzzy,70,137,182,248,250,132,43,141
0.367,19,8,1,dos,6,2,10,245,250,128,2,110
0.368,715,8,1,fuzzy,246,25,191,23,227,228,88,55
0.369,1306,5,1,fuzzy,170,19,38,164,130,199,147,215
0.37,901,1,1,fuzzy,166,63,235,107,199,1,148,106
0.371,1784,1,1,fuzzy,228,168,91,254,139,196,87,36
0.372,321,4,1,fuzzy,158,251,128,96,239,210,152,173
0.373,19,8,1,dos,254,10,253,245,11,120,2,111
0.374,19,8,1,dos,255,6,4,253,255,126,2,112
0.375,1688,8,1,fuzzy,7,199,66,73,167,3,186,193
0.376,80,1,1,fuzzy,200,206,71,103,243,211,57,108
0.377,5,7,1,fuzzy,179,102,63,123,5,105,79,180
0.378,19,8,1,dos,12,5,6,239,25,127,2,113
0.379,19,8,1,dos,237,16,2,37,22,116,2,114
0.38,1604,1,1,fuzzy,52,229,130,37,158,182,212,10
0.381,1739,6,1,fuzzy,157,76,20,94,100,240,181,142
0.382,64,4,1,fuzzy,13,205,6,10,216,243,205,121
0.383,19,8,1,dos,1,6,2,255,248,130,2,115
0.384,135,6,1,fuzzy,87,68,128,238,139,162,234,135
0.385,1421,5,1,fuzzy,255,255,17,17,38,185,167,133
0.386,787,1,1,fuzzy,222,191,29,246,123,121,17,221
0.387,152,5,1,fuzzy,64,236,205,210,253,89,237,180
0.388,214,4,1,fuzzy,66,33,126,205,118,241,120,206
0.389,1971,8,1,fuzzy,237,163,37,139,206,41,227,231
0.39,19,8,1,dos,0,14,250,253,23,122,2,116
0.391,427,7,1,fuzzy,246,160,110,251,145,106,128,160
0.392,1767,3,1,fuzzy,145,124,151,249,201,191,85,228
0.393,1332,4,1,fuzzy,135,88,69,242,110,104,247,37
0.394,19,8,1,dos,237,252,8,241,251,127,2,117
0.395,32,3,1,fuzzy,77,163,241,157,236,196,169,80
0.396,2026,6,1,fuzzy,158,102,45,143,163,66,96,26
0.397,19,8,0,normal,248,251,248,250,247,120,2,118
0.398,19,8,1,dos,8,255,2,21,224,125,2,118
0.399,2033,4,1,fuzzy,153,169,88,225,245,51,9,57
0.4,19,8,1,dos,249,6,250,46,13,124,2,119
0.401,19,8,1,dos,244,242,255,26,228,133,2,120
0.402,1824,8,1,fuzzy,159,33,133,188,30,93,19,118
0.403,185,8,1,fuzzy,140,150,224,205,118,201,114,246
0.404,1316,1,1,fuzzy,184,183,48,93,145,73,208,101
0.405,19,8,1,dos,2,0,3,21,252,129,2,121
0.406,1780,8,1,fuzzy,225,203,31,81,128,116,82,216
0.40700000000000003,1875,1,1,fuzzy,78,79,101,106,9,88,200,181
0.40800000000000003,19,8,1,dos,8,252,0,237,36,128,2,122
0.40900000000000003,966,6,1,fuzzy,92,250,140,213,228,57,46,63
0.41000000000000003,2017,3,1,fuzzy,170,169,106,66,220,108,37,46
0.41100000000000003,810,7,1,fuzzy,151,208,133,136,176,72,141,116
0.41200000000000003,19,8,1,dos,248,255,6,253,12,123,2,123
0.41300000000000003,19,8,1,dos,13,7,244,253,235,130,2,124
0.41400000000000003,576,2,1,fuzzy,211,91,13,165,45,253,217,218
0.41500000000000004,1146,4,1,fuzzy,208,112,212,101,234,246,81,142
0.41600000000000004,64,5,1,fuzzy,176,92,109,85,189,205,8,57
0.417,240,2,1,fuzzy,227,72,220,117,112,29,124,160
0.418,1738,3,1,fuzzy,138,96,30,86,60,103,57,247
0.419,19,8,1,dos,17,253,0,254,14,122,2,125
0.42,240,5,1,fuzzy,46,170,73,233,163,115,239,191
0.421,48,6,0,normal,135,140,127,1,25,0,0,0
0.422,1222,1,1,fuzzy,202,254,102,40,39,96,233,132
0.423,19,8,1,dos,251,5,5,255,11,129,2,126
0.424,131,1,1,fuzzy,136,54,142,0,32,60,183,135
0.425,637,6,1,fuzzy,211,74,188,70,187,164,250,114
0.426,32,4,0,normal,5,204,1,63,0,0,0,0
0.427,5,1,1,fuzzy,191,112,79,9,107,235,216,209
0.428,19,8,1,dos,0,7,9,19,24,137,2,127
0.429,1262,5,1,fuzzy,102,122,147,120,55,22,34,233
0.43,226,2,1,fuzzy,34,185,30,54,63,29,51,10
0.431,1077,4,1,fuzzy,103,103,51,119,202,99,225,226
0.432,19,8,0,normal,4,0,251,243,251,128,2,127
0.433,19,8,1,dos,7,14,4,245,241,135,2,128
0.434,5,8,1,fuzzy,50,8,185,113,199,163,99,202
0.435,1891,7,1,fuzzy,132,11,126,75,89,158,223,102
0.436,19,8,1,dos,3,0,7,19,253,131,2,129
0.437,640,6,1,fuzzy,247,106,87,254,161,30,154,236
